StockNumber,StockScore,StockClose,StockVolume
911616.TW,73.18559399180702,1.69,428.672
1325.TW,71.72079201063285,61.799999,1336.22
00655L.TW,63.22108568993986,37.73,6247.734
00633L.TW,63.197372243711776,50.299999,13178.145
00637L.TW,62.61303593372079,19.93,65031.403
00753L.TW,62.53040892220412,26.879999,1126.837
00665L.TW,60.4804020922123,17.66,810.582
3679.TW,52.17630385487528,105.0,684.762
4968.TW,52.1457421875,400.0,1811.222
9103.TW,52.05529826708206,19.15,1565.478
1732.TW,48.26894568407992,30.049999,703.037
00650L.TW,48.24904581013256,24.200001,2322.145
6491.TW,47.59314089405294,448.0,865.354
1760.TW,47.527475104445024,81.5,550.065
9802.TW,46.31801156237323,92.699997,705.78
4133.TW,46.15595633660339,51.299999,691.004
6504.TW,45.63474546101816,132.5,247.67
1590.TW,44.997853256801214,899.0,1442.412
2108.TW,43.85259683389517,123.0,3118.622
4106.TW,43.666530134498736,32.799999,420.933
5215.TW,43.32682407251316,95.900002,116.502
2417.TW,42.86295269019613,35.200001,2673.42
2609.TW,41.51175224815545,117.0,52163.921
4746.TW,41.42504348652216,68.199997,1705.066
1460.TW,41.26641382801655,11.8,2281.352
2049.TW,40.12037658691406,320.0,4567.917
1441.TW,40.115569526627205,10.4,124.769
9136.TW,39.72533948577833,7.34,382.0
1598.TW,39.48410706058279,82.400002,476.999
3669.TW,39.29393219225385,69.800003,416.837
1471.TW,39.21719737658188,9.13,523.58
2231.TW,38.56774701504047,175.5,310.496
6225.TW,37.61624189836239,9.69,10.426
00752.TW,37.29777391781666,24.82,2942.616
6598.TW,36.00651587294506,43.549999,129.85
2380.TW,35.792996214169825,10.75,570.349
2211.TW,35.72619623983172,55.299999,1518.03
2353.TW,35.369894735266875,27.200001,16531.054
6743.TW,35.361054389888245,101.0,266.986
00703.TW,35.2599080725628,21.33,129.046
912398.TW,34.922700552329204,4.11,461.183
6116.TW,34.560874147402934,18.950001,38686.906
3025.TW,33.75359631127257,21.799999,835.815
00636.TW,33.67754684132069,23.74,3050.547
1597.TW,33.3714622341031,100.5,309.341
2630.TW,33.02225335984714,18.700001,487.718
2431.TW,33.009100000000004,12.5,1660.768
1612.TW,32.88583003162715,23.450001,1689.899
6176.TW,32.576705374991576,105.5,2907.164
2617.TW,32.349354497538165,44.5,17473.144
2382.TW,31.91721077550968,77.300003,13200.519
3708.TW,31.887712647929,104.0,224.246
2608.TW,31.721777305061984,55.0,1774.855
1467.TW,31.24188650959649,14.85,255.629
6776.TW,31.0243316607376,40.200001,66.722
2243.TW,30.90678125000001,10.0,5.0
8481.TW,30.79612696175154,75.300003,8.0
2535.TW,30.534581560416644,30.0,466.325
6655.TW,30.467388524105044,65.300003,59.0
3038.TW,30.373333788444448,18.75,575.972
1440.TW,30.27105015782771,24.25,4942.875
00700.TW,30.13418054430675,16.5,184.708
2923.TW,29.920944580068973,27.049999,53.975
1304.TW,29.38948113746281,32.75,4610.974
8033.TW,28.967408295886333,14.25,827.153
4142.TW,28.773720471125387,49.5,2755.756
3044.TW,28.62250434027778,120.0,4939.611
2723.TW,28.605778751062918,146.5,651.353
3138.TW,28.578581111880705,205.5,341.757
3231.TW,28.5704959252496,27.75,19368.58
2613.TW,28.289149424983272,33.5,3234.359
2642.TW,28.199184844628878,87.800003,2219.671
910861.TW,28.116870756167263,7.89,69.0
2377.TW,28.01525976990504,148.0,3195.967
00882.TW,27.980793603147923,13.92,14846.964
5906.TW,27.95069466891549,33.849998,22.0
2906.TW,27.92808553434041,14.6,68.588
2103.TW,27.77478792652617,30.299999,2239.991
6591.TW,27.733454117706213,59.700001,222.158
006206.TW,27.450983081469115,34.419998,1686.171
4976.TW,27.332552263636536,79.0,4492.767
2601.TW,27.25771107965769,16.950001,45297.521
6405.TW,27.183223093782257,32.400002,720.131
6442.TW,27.148502596351666,33.799999,23.001
2425.TW,26.981789718388992,27.200001,340.071
1903.TW,26.96330470805532,57.400002,269.742
2496.TW,26.897872488517454,52.200001,12.103
1447.TW,26.55827301131404,11.35,4243.636
1310.TW,26.517470727285477,19.549999,1445.241
2038.TW,26.516403543626524,45.150002,6095.508
2911.TW,26.078933689760177,8.04,242.062
006207.TW,26.051245492276564,28.799999,162.0
4935.TW,26.021928070053768,90.400002,331.684
3682.TW,25.925696455533288,8.04,2807.582
1762.TW,25.880475337274945,61.0,311.538
2208.TW,25.847048719413163,24.049999,5731.493
2408.TW,25.64491755773215,72.300003,12683.479
2458.TW,25.624141509721927,181.0,2843.453
8404.TW,25.250567235060377,40.25,436.347
2109.TW,25.2249227901224,18.200001,187.007
6426.TW,25.14350734289222,70.199997,113.58
2375.TW,24.940255544742406,102.0,1568.747
2606.TW,24.9240193593059,62.599998,37007.616
2356.TW,24.87165814511471,23.450001,10996.87
3376.TW,24.77350656552974,107.0,3311.652
1217.TW,24.66735631932921,10.7,1407.259
6668.TW,24.654722372939236,64.800003,219.3
2504.TW,24.572582242981557,22.65,3477.917
4904.TW,24.57195363189221,60.599998,2745.504
2637.TW,24.569156379437885,78.0,35910.805
910322.TW,24.376786058058627,25.299999,32.0
9929.TW,24.299511825603908,10.9,11.002
2901.TW,24.27374134991694,27.799999,320.197
1536.TW,24.25061253861889,97.300003,642.054
3704.TW,24.24374818617957,27.25,4146.867
1203.TW,24.21291949340283,33.799999,19.018
2702.TW,24.154565795813788,24.9,241.279
4438.TW,24.066819634363853,116.0,32.181
4164.TW,24.064175983196066,34.950001,81.003
1416.TW,24.045718168361287,10.15,240.512
2462.TW,23.81085598341125,29.1,518.096
3023.TW,23.76453993055556,240.0,628.355
1904.TW,23.69989016065451,42.150002,2002.472
