StockNumber,StockScore,StockClose,StockVolume
ATVI,29.98577075300807,81.417,181.869
MU,10.327159971472936,72.669899,504.438
^DJI,6.781263791944076,35281.378906,7147.82
AMZN,4.162769136772028,3329.969971,108.261
DIS,0.6059384403071827,176.869995,147.592
VXUS,-0.6405012272537531,65.020798,44.092
QCOM,-0.8831068232018686,142.880005,145.392
AAPL,-3.185516749173436,147.410004,2166.253
VT,-3.501307314812327,105.480003,33.936
TSM,-3.7181187295362257,118.0,321.793
WMT,-4.541646822608136,147.410004,173.14
VTI,-5.091974253324766,230.955002,87.942
^GSPC,-5.201703951647024,4482.430176,41772.472
VOO,-5.335457867177517,411.480011,134.705
SPY,-5.397730873133876,447.559998,1355.553
^NDX,-6.339920071500601,15322.517578,16669.643
FB,-6.8168500885507815,365.880005,282.7
MSFT,-8.93556794450242,299.054993,669.419
TSLA,-10.115841240078211,702.340027,461.377
GOOG,-10.99433569130497,2847.959961,43.24
AMD,-12.43988653308206,109.040001,1768.592
GOOGL,-14.545766392837148,2834.290039,35.524
NVDA,-22.16867389580294,225.179993,1567.693
BTC-USD,-24.118989841855047,47165.695313,30928275.456
ETH-USD,-27.8748931059294,3148.409668,16694936.576
