Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score
2006/10/24,57.0,60.0,54.7,54.8,83277,-24589,27691,4211,3.16,,,61.79999999999999,,51.20000000000001,,-0.582123493380756,,,,,,,,0.0
2006/10/25,55.0,55.0,50.4,52.5,38561,-2446.05,4026,2076,3.06,,,59.51666666666666,,49.616666666666674,,-0.582123493380756,,,,,,,,
2006/10/26,52.5,53.4,51.0,52.7,21942,-3966.95,2643,1367,2.89,,,57.93333333333333,,49.73333333333334,,-0.582123493380756,,,,,,,,
2006/10/27,54.0,54.0,52.4,53.0,25174,5840,1157,-1140,3.14,,,57.133333333333326,,50.18333333333334,,-0.582123493380756,,,,,,,,
2006/10/30,52.5,53.0,52.0,52.0,8493,-659,550,40,3.11,,,56.373333333333335,,50.413333333333334,,-0.582123493380756,,53.0,,,,,,
2006/10/31,50.5,51.9,50.4,51.6,8618,-161,339,1048,3.1,,,55.77777777777777,,50.31111111111111,,-0.582123493380756,,52.36,,,,,,
2006/11/01,51.9,52.4,51.3,51.6,8668,-1160,465,251,3.05,,,55.36190476190476,,50.36190476190477,,-0.582123493380756,,52.17999999999999,,,,,,
2006/11/02,51.6,53.9,51.6,53.0,19195,2176,411,-1075,3.15,,,55.33333333333333,,50.38333333333333,,-0.582123493380756,,52.239999999999995,,,,,,
2006/11/03,53.4,56.7,53.0,56.7,35998,7045,4647,2623,3.45,,,55.75925925925926,,50.53703703703704,,-0.582123493380756,,52.98,,,,,,
2006/11/06,56.0,59.7,55.6,58.8,25506,1895,3815,-741,3.53,,,56.39666666666667,,50.87666666666667,,-0.582123493380756,,54.339999999999996,53.67,,,,,
2006/11/07,59.5,59.7,58.2,59.1,16788,1172,3190,-335,3.58,,,56.76969696969697,,51.47878787878788,,-0.582123493380756,,55.839999999999996,54.1,,,,,
2006/11/08,59.1,59.9,57.4,58.0,15325,1060,250,314,3.63,,,57.11666666666667,,51.85,,-0.582123493380756,,57.11999999999999,54.65,,,,,
2006/11/09,58.0,58.1,55.0,55.5,11748,-1176,306,-248,3.57,,,57.284615384615385,,51.94615384615385,,-0.582123493380756,,57.61999999999999,54.92999999999999,,,,,
2006/11/10,55.5,57.7,55.5,56.5,10804,-696,420,215,3.55,36.03691161320317,,57.39047619047619,,52.11904761904763,,-0.582123493380756,,57.58,55.279999999999994,,,,,
2006/11/13,57.0,57.0,54.9,55.5,6167,526,86,-6,3.57,27.825631734440115,,57.42444444444445,,52.224444444444444,,-0.582123493380756,,56.919999999999995,55.629999999999995,,,,,
2006/11/14,55.6,55.9,54.8,55.3,9998,-902,295,944,3.53,26.247803813495906,28.63413688412483,57.3625,,52.35,,-0.582123493380756,,56.160000000000004,56.0,,,,,
