Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score_SMA_5,Score
1980/03/17,0.0,3.302083,3.125,3.145833,219.6,0,0,0,0,,,3.368055,,3.0138890000000003,,0.0722645705459044,,,,,,,,,0.0
1980/03/18,0.0,3.125,2.9375,3.03125,727.2,0,0,0,0,,,3.2934025,,2.9288195000000004,,0.0722645705459044,,,,,,,,,
1980/03/19,0.0,3.083333,3.020833,3.041667,295.2,0,0,0,0,,,3.2326386666666664,,2.9479166666666665,,0.0722645705459044,,,,,,,,,
1980/03/20,0.0,3.0625,3.010417,3.010417,159.6,0,0,0,0,,,3.19444425,,2.95486125,,0.0722645705459044,,,,,,,,,
1980/03/21,0.0,3.020833,2.90625,2.916667,130.8,0,0,0,0,,,3.1680553333333332,,2.930555733333333,,0.0722645705459044,,3.0291668,,,,,,,
1980/03/24,0.0,2.916667,2.635417,2.666667,436.8,0,0,0,0,,,3.143518388888889,,2.8518520555555553,,0.0722645705459044,,2.9333336,,,,,,,
1980/03/25,0.0,2.75,2.552083,2.604167,645.6,0,0,0,0,,,3.0992062857142857,,2.792658857142857,,0.0722645705459044,,2.847917,,,,,,,
1980/03/26,0.0,2.604167,2.427083,2.447917,466.8,0,0,0,0,,,3.045572958333333,,2.7330729583333335,,0.0722645705459044,,2.729167,,,,,,,
1980/03/27,0.0,2.375,2.239583,2.375,1129.2,0,0,0,0,,,2.9810957407407406,,2.6732252962962963,,0.0722645705459044,,2.6020836,,,,,,,
1980/03/28,0.0,2.583333,2.458333,2.541667,666.0,0,0,0,0,,,2.948263933333333,,2.6461805333333333,,0.0722645705459044,,2.5270836,2.7781252,,,,,,
1980/03/31,0.0,2.583333,2.520833,2.541667,430.8,0,0,0,0,,,2.9176136666666665,,2.6316287575757573,,0.0722645705459044,,2.5020835999999997,2.7177086,,,,,,
1980/04/01,0.0,2.770833,2.583333,2.739583,492.0,0,0,0,0,,,2.9149305555555554,,2.6215277222222224,,0.0722645705459044,,2.5291668,2.6885418999999997,,,,,,
