Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score_SMA_5,Score
2012/05/18,42.049999,45.0,38.0,38.23,573576.4,0,0,0,0,,,47.41,,33.41,,3.6359732366493915,,,,,,,,,0.0
2012/05/21,36.529999,36.66,33.0,34.029999,168192.7,0,0,0,0,,,42.8166665,,32.1566665,,3.6359732366493915,,,,,,,,,
2012/05/22,32.610001,33.59,30.940001,31.0,101786.6,0,0,0,0,,,40.04222188888889,,31.16888922222222,,3.6359732366493915,,,,,,,,,
2012/05/23,31.370001,32.5,31.360001,32.0,73600.0,0,0,0,0,,,38.304999583333334,,31.08000058333333,,3.6359732366493915,,,,,,,,,
2012/05/24,32.950001,33.209999,31.77,33.029999,50237.2,0,0,0,0,,,37.465999333333336,,31.110000533333334,,3.6359732366493915,,33.6579996,,,,,,,
2012/05/25,32.900002,32.950001,31.110001,31.91,37149.8,0,0,0,0,,,36.85999955555556,,30.95000055555555,,3.6359732366493915,,32.3939996,,,,,,,
2012/05/29,31.48,31.690001,28.65,28.84,78063.4,0,0,0,0,,,36.27523790476191,,30.34095276190476,,3.6359732366493915,,31.3559998,,,,,,,
2012/05/30,28.700001,29.549999,27.860001,28.190001,57267.9,0,0,0,0,,,35.518749625000005,,29.903750625,,3.6359732366493915,,30.794,,,,,,,
2012/05/31,28.549999,29.67,26.83,29.6,111639.2,0,0,0,0,,,35.076666333333336,,29.454444999999996,,3.6359732366493915,,30.314,,,,,,,
2012/06/01,28.889999,29.15,27.389999,27.719999,41855.5,0,0,0,0,,,34.553666400000004,,29.141667,,3.6359732366493915,,29.252,31.454999800000003,,,,,,
2012/06/04,27.200001,27.65,26.440001,26.9,35230.3,0,0,0,0,,,33.97666636363636,,28.83666709090909,,3.6359732366493915,,28.25,30.321999799999997,,,,,,
2012/06/05,26.700001,27.76,25.75,25.870001,42473.4,0,0,0,0,,,33.51777752777778,,28.471111527777776,,3.6359732366493915,,27.6560002,29.506,,,,,,
2012/06/06,26.07,27.17,25.52,26.809999,61489.2,0,0,0,0,,,33.10487153846154,,28.19256446153846,,3.6359732366493915,,27.3799998,29.086999900000002,,,,,,
2012/06/07,27.0,27.35,26.15,26.309999,26159.5,0,0,0,0,0.946020808263989,,32.726190214285715,,27.99333364285714,,3.6359732366493915,,26.721999600000004,28.517999800000002,,,,,,
2012/06/08,26.549999,27.76,26.440001,27.1,38034.0,0,0,0,0,4.016134842042946,,32.439110822222226,,27.845778155555553,,3.6359732366493915,,26.597999800000004,27.9249999,,,,,,
2012/06/11,27.18,28.07,26.84,27.01,28219.6,0,0,0,0,5.186756077723573,3.4367791670618306,32.1952080625,,27.7352086875,,3.6359732366493915,,26.6199998,27.4349999,,,,,,
2012/06/12,27.48,27.77,26.959999,27.4,15816.8,0,0,0,0,7.494334623211185,5.8340482473357875,31.959411549019613,,27.666470843137255,,3.6359732366493915,,26.9259996,27.290999899999996,,,,,,
2012/06/13,27.66,28.1,27.1,27.27,17102.8,0,0,0,0,6.887979225079675,6.625368424221466,31.766666462962966,,27.601111351851852,,3.6359732366493915,,27.017999800000002,27.198999800000003,,,,,,
2012/06/14,27.65,28.32,27.379999,28.290001,16855.0,0,0,0,0,13.791644154341789,10.418033470502087,31.617719157894737,,27.572456315789474,,3.6359732366493915,,27.414000199999997,27.0679999,,,,,,
2012/06/15,28.51,30.1,28.35,30.01,43563.8,0,0,0,0,33.75459976644273,20.534306933210395,31.598666533333336,29.58966668333333,27.580666833333332,,3.6359732366493915,,27.996000200000005,27.297000000000004,29.3759999,,,,,
2012/06/18,29.959999,32.080002,29.41,31.41,42978.9,0,0,0,0,47.209601523555705,35.02504514173252,30.910000000000004,29.11750005,27.3250001,,3.6359732366493915,,28.8760002,27.748,29.034999899999995,,,,,
2012/06/19,31.540001,32.18,30.700001,31.91,30849.0,0,0,0,0,52.384221903480146,47.045688201124086,30.652666650000004,28.96916675,27.285666850000002,,3.6359732366493915,,29.778000199999997,28.3519999,28.92899995,,,,,
2012/06/20,31.92,31.93,31.15,31.6,15553.6,0,0,0,0,48.46589072017704,49.023314259787085,30.545000016666666,28.955000066666663,27.365000116666664,,3.6359732366493915,,30.6440002,28.831,28.95899995,,,,,
2012/06/21,31.67,32.5,31.51,31.84,21875.3,0,0,0,0,49.025710003323454,50.13540580934705,30.537333383333333,28.954833383333334,27.37233338333333,,3.6359732366493915,,31.354000000000003,29.384000099999998,28.95099995,,,,,
2012/06/22,32.41,33.450001,32.060001,33.049999,74834.0,0,0,0,0,56.157255310538154,54.565200981841244,30.54400015,28.964000100000003,27.384000050000004,,3.6359732366493915,,31.9619998,29.979000000000003,28.951999950000005,,,,,
2012/06/25,32.860001,33.02,31.549999,32.060001,24352.9,0,0,0,0,44.50268967075709,48.20029062638238,30.536500166666666,28.975000066666674,27.413499966666667,-1.4149984999999994,3.6359732366493915,-101.30763523640255,32.092,30.484000099999996,28.959500000000002,,,,,317.95038286383857
2012/06/26,32.689999,33.439999,32.5,33.099998,24858.7,0,0,0,0,55.32510830569768,52.810166008244124,30.59583333333333,29.139333333333337,27.68283333333333,4.694996000000003,,,32.3299996,31.053999899999997,29.172499900000002,,,,,
