Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score_SMA_5,Score
2008/06/26,49.919998,49.990002,49.34,49.580002,15.8,0,0,0,0,,,50.286669999999994,,48.98666600000001,,0.6172254675329469,,,,,,,,,0.0
2008/06/27,51.450001,51.450001,49.259998,49.5,26.8,0,0,0,0,,,51.27333633333333,,48.43333133333334,,0.6172254675329469,,,,,,,,,
2008/06/30,51.720001,51.720001,49.360001,49.540001,23.9,0,0,0,0,,,51.704446777777775,,48.23777677777778,,0.6172254675329469,,,,,,,,,
2008/07/01,49.130001,49.599998,47.740002,49.099998,55.1,0,0,0,0,,,51.446667250000004,,47.916666750000005,,0.6172254675329469,,,,,,,,,
2008/07/02,49.540001,49.689999,48.380001,48.380001,74.7,0,0,0,0,,,51.18266680000001,,47.8346672,,0.6172254675329469,,49.220000399999996,,,,,,,
2008/07/03,48.77,48.810001,48.060001,48.509998,17.6,0,0,0,0,,,50.853889,,47.81388933333333,,0.6172254675329469,,49.005999599999996,,,,,,,
2008/07/07,48.779999,48.799999,47.799999,48.41,55.5,0,0,0,0,,,50.63714285714286,,47.74571457142857,,0.6172254675329469,,48.7879996,,,,,,,
2008/07/08,48.119999,48.560001,47.169998,48.5,54.3,0,0,0,0,,,50.49083366666667,,47.61333316666666,,0.6172254675329469,,48.5799994,,,,,,,
2008/07/09,49.389999,49.389999,47.900002,47.939999,28.9,0,0,0,0,,,50.42518514814815,,47.53629648148148,,0.6172254675329469,,48.3479996,,,,,,,
2008/07/10,48.310001,48.310001,47.599998,47.860001,20.8,0,0,0,0,,,50.24600026666667,,47.50399986666667,,0.6172254675329469,,48.2439996,48.732,,,,,,
2008/07/11,48.25,48.25,47.189999,47.650002,22.5,0,0,0,0,,,50.11060642424243,,47.42515133333333,,0.6172254675329469,,48.07200039999999,48.539,,,,,,
2008/07/14,48.799999,48.799999,47.279999,47.490002,37.9,0,0,0,0,,,50.04944477777778,,47.33444427777778,,0.6172254675329469,,47.8880008,48.338000199999996,,,,,,
2008/07/15,47.07,47.439999,46.34,46.759998,24.8,0,0,0,0,,,49.88769246153846,,47.21230753846154,,0.6172254675329469,,47.5400004,48.0599999,,,,,,
2008/07/16,46.849998,47.720001,46.59,47.720001,23.7,0,0,0,0,8.850802552077127,,49.78666692857143,,47.14095221428572,,0.6172254675329469,,47.4960008,47.9220002,,,,,,
2008/07/17,48.310001,48.52,47.84,48.330002,26.0,0,0,0,0,16.87978393875904,,49.72822251111111,,47.16822211111111,,0.6172254675329469,,47.590001,47.9170003,,,,,,
2008/07/18,48.48,48.549999,47.66,48.279999,18.3,0,0,0,0,16.21244187947676,14.791777178734888,49.686041833333334,,47.17479158333333,,0.6172254675329469,,47.7160004,47.894000399999996,,,,,,
2008/07/21,48.889999,48.889999,48.279999,48.43,18.2,0,0,0,0,29.614664014784275,21.429862345462702,49.65411776470588,,47.21882341176471,,0.6172254675329469,,47.903999999999996,47.896000400000005,,,,,,
2008/07/22,48.299999,48.700001,47.98,48.700001,29.3,0,0,0,0,36.444217243263495,29.12443718291854,49.627777981481486,,47.24777764814815,,0.6172254675329469,,48.2920006,47.9160005,,,,,,
2008/07/23,49.389999,49.470001,48.939999,49.080002,47.2,0,0,0,0,49.91499908345873,41.88585974275702,49.63122840350877,,47.32070156140351,,0.6172254675329469,,48.5640008,48.030000799999996,,,,,,
2008/07/24,48.98,48.98,47.98,48.0,39.9,0,0,0,0,22.647203020550833,30.03719102092099,49.615666983333334,48.468166733333334,47.32066648333333,,0.6172254675329469,,48.4980004,48.0440007,48.38800035,,,,,
2008/07/25,48.0,48.209999,47.919998,48.209999,9.0,0,0,0,0,27.22219694744222,30.424829475427437,49.52150013333333,48.39199993333334,47.262499733333335,,0.6172254675329469,,48.4840004,48.1000004,48.3195002,,,,,
2008/07/28,48.5,48.5,46.5,47.439999,71.8,0,0,0,0,13.374844922755312,18.765321678373446,49.38249998333334,48.26249993333333,47.14249988333333,,0.6172254675329469,,48.286000200000004,48.09500010000001,48.216500149999995,,,,,
2008/07/29,47.540001,47.900002,47.439999,47.900002,19.7,0,0,0,0,21.926729183174167,21.22392219150553,49.164500133333334,48.13949993333334,47.11449973333333,,0.6172254675329469,,48.126000399999995,48.2090005,48.134500200000005,,,,,
2008/07/30,48.450001,48.720001,48.299999,48.700001,33.4,0,0,0,0,39.59740398791988,28.076124715507277,49.08050048333334,48.12749998333333,47.174499483333335,,0.6172254675329469,,48.0500002,48.3070005,48.11450035,,,,,
2008/07/31,48.84,48.84,48.200001,48.209999,14.8,0,0,0,0,28.51367941430657,29.428582731183933,49.02700051666667,48.10749996666667,47.18799941666667,,0.6172254675329469,,48.092,48.2950002,48.10600025,,,,,
2008/08/01,48.189999,50.02,47.75,47.93,46.5,0,0,0,0,19.524751358226908,26.865112927907898,49.10833385,48.1128333,47.117332749999996,-1.4300005000000056,0.6172254675329469,-11.053646344739228,48.036000200000004,48.2600003,48.07700035,,,,,24.53461104986408
2008/08/04,48.57,48.57,47.23,47.23,27.3,0,0,0,0,8.198425478553137,16.299034994735585,49.09233388333333,48.07983333333333,47.06733278333333,-2.8300005000000112,,,47.9940004,48.1400003,48.01800035,,,,,
2008/08/05,48.689999,48.720001,47.369999,48.389999,35.0,0,0,0,0,27.155051086341086,19.831667888060956,49.094500499999995,48.084,47.073499500000004,-0.5100024999999988,,,48.091999799999996,48.1090001,48.0125003,,,,,
2008/08/06,48.549999,48.93,48.23,48.709999,22.1,0,0,0,0,33.34960958053451,24.29541786742323,49.0656673,48.09466665,47.123666,0.9799979999999948,,,48.0939994,48.0719998,48.0510003,,,,,
2008/08/07,48.599998,48.599998,47.599998,47.599998,45.4,0,0,0,0,13.922887157649381,21.93911792816238,49.08066705,48.09516655,47.10966605,-1.2400040000000132,,,47.9719992,48.031999600000006,48.03800015,,,,,
2008/08/08,47.650002,48.259998,47.07,48.23,40.6,0,0,0,0,24.341661314795225,23.63813102149985,49.09500018333334,48.10299983333333,47.11099948333334,-0.2650000000000148,,,48.0319992,48.033999699999995,48.067000050000004,,,,,
2008/08/11,48.450001,48.639999,47.98,48.52,34.3,0,0,0,0,29.65532091704201,23.73403418102503,49.07816678333334,48.129166483333336,47.18016618333333,0.3149999999999977,,,48.2899992,48.141999799999994,48.11849995,,,,,
2008/08/12,48.560001,48.560001,47.68,47.849998,34.3,0,0,0,0,17.92062606254158,22.566738883492164,49.126333583333334,48.188333183333334,47.250332783333334,-1.0250040000000098,,,48.181999000000005,48.1369994,48.17299995,,,,,
