Date,Open,High,Low,Close,Volume,Foreign,Trust,Dealer,ForeignRatio,K,D,KC_high,KC_middle,KC_low,ICH_plot_1,ICH_plot_2,ICH_plot_3,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,Score_SMA_5,Score
1985/10/01,110.620003,112.160004,110.565002,112.139999,153160.0,0,0,0,0,,,113.21667033333334,,110.02666633333335,,42.89289719564795,,,,,,,,,0.0
1985/10/02,112.139999,112.540001,110.779999,110.824997,164640.0,0,0,0,0,,,113.179169,,109.82416500000002,,42.89289719564795,,,,,,,,,
1985/10/03,110.839996,111.184998,110.120003,110.870003,147300.0,0,0,0,0,,,112.71611144444444,,109.76944544444446,,42.89289719564795,,,,,,,,,
1985/10/04,110.870003,110.870003,109.855003,110.074997,147900.0,0,0,0,0,,,112.3575005,,109.64000100000001,,42.89289719564795,,,,,,,,,
1985/10/07,110.074997,110.135002,108.175003,108.199997,128640.0,0,0,0,0,,,112.04533366666666,,109.08733446666668,,42.89289719564795,,110.42199860000001,,,,,,,
1985/10/08,108.199997,108.269997,106.75,107.160004,144100.0,0,0,0,0,,,111.52333316666666,,108.55166816666667,,42.89289719564795,,109.4259996,,,,,,,
1985/10/09,107.160004,108.989998,107.114998,108.629997,156200.0,0,0,0,0,,,111.32285666666667,,108.24000095238095,,42.89289719564795,,108.98699959999999,,,,,,,
1985/10/10,108.629997,109.510002,107.809998,109.434998,154840.0,0,0,0,0,,,111.23479166666667,,108.11229191666666,,42.89289719564795,,108.6999986,,,,,,,
1985/10/11,109.434998,111.120003,109.425003,111.050003,158220.0,0,0,0,0,,,111.34500033333333,,108.19277833333334,,42.89289719564795,,108.89499980000001,,,,,,,
1985/10/14,111.050003,113.269997,111.050003,113.184998,123120.0,0,0,0,0,,,111.68266630000001,,108.4016677,,42.89289719564795,,109.89200000000001,110.15699930000001,,,,,,
1985/10/15,113.184998,113.980003,112.790001,113.379997,171360.0,0,0,0,0,,,111.94545442424243,,108.74636442424243,,42.89289719564795,,111.1359986,110.2809991,,,,,,
1985/10/16,113.379997,114.339996,113.199997,114.315002,175120.0,0,0,0,0,,,112.20763855555556,,109.08513955555556,,42.89289719564795,,112.2729996,110.62999959999999,,,,,,
1985/10/17,114.315002,115.339996,114.315002,114.739998,190940.0,0,0,0,0,,,112.48576835897437,,109.44577020512821,,42.89289719564795,,113.3339996,111.01699909999999,,,,,,
1985/10/18,114.739998,114.964996,113.830002,114.32,180880.0,0,0,0,0,57.75520226517967,,112.70154633333334,,109.71654890476191,,42.89289719564795,,113.98799899999999,111.4414994,,,,,,
1985/10/21,114.32,114.455002,113.650002,113.68,142800.0,0,0,0,0,48.83940530392517,,112.8369988888889,,109.94366795555555,,42.89289719564795,,114.08699940000001,111.98949969999998,,,,,,
1985/10/22,113.800003,114.889999,113.425003,114.440002,157740.0,0,0,0,0,57.33531490626179,55.1482627460339,113.01697795833333,,110.12135570833334,,42.89289719564795,,114.2990004,112.7174995,,,,,,
1985/10/23,114.440002,115.525002,114.440002,115.065002,202200.0,0,0,0,0,63.17414326962677,58.88117578670255,113.19803819607843,,110.34509960784314,,42.89289719564795,,114.4490004,113.36100000000002,,,,,,
1985/10/24,115.065002,116.105003,115.065002,115.485001,190860.0,0,0,0,0,63.8115638308155,63.25016293266029,113.38657327777779,,110.57657561111111,,42.89289719564795,,114.598001,113.96600029999999,,,,,,
1985/10/25,115.485001,115.544998,113.739998,113.910004,165840.0,0,0,0,0,43.49536196214849,50.13628073172247,113.53482380701753,,110.68272075438597,,42.89289719564795,,114.5160018,114.2520004,,,,,,
1985/10/28,113.910004,113.910004,113.205002,113.82,131460.0,0,0,0,0,41.950181637131074,45.83932841240056,113.57558281666665,112.18558376666667,110.79558471666667,,42.89289719564795,,114.5440018,114.3155006,112.23624995,,,,,
